Identifier A,Identifier B,Species A,Species B,Positive interaction
B6U8U2,A0A1D6HY75,Zea mays (Maize),Zea mays (Maize),1
B6U8U2,A0A1D6I559,Zea mays (Maize),Zea mays (Maize),1
B6U8U2,A0A1D6IUX5,Zea mays (Maize),Zea mays (Maize),1
B6U8U2,A0A1D6KUY8,Zea mays (Maize),Zea mays (Maize),1
B6U8U2,A0A096QXB7,Zea mays (Maize),Zea mays (Maize),1
B6U8U2,B4FHZ7,Zea mays (Maize),Zea mays (Maize),1
K7V280,A0A1D6LMU4,Zea mays (Maize),Zea mays (Maize),1
B6U926,A0A1D6MQF7,Zea mays (Maize),Zea mays (Maize),1
B6U926,B6SZE0,Zea mays (Maize),Zea mays (Maize),1
B6U926,B4FC97,Zea mays (Maize),Zea mays (Maize),1
B4FUK2,A0A096S8W7,Zea mays (Maize),Zea mays (Maize),1
B4FUK2,A0A1D6JGA3,Zea mays (Maize),Zea mays (Maize),1
B6U961,A0A1D6E9M1,Zea mays (Maize),Zea mays (Maize),1
B6U961,A0A1D6G1X3,Zea mays (Maize),Zea mays (Maize),1
B6U961,A0A1D6JSP0,Zea mays (Maize),Zea mays (Maize),1
B6U9D5,B4FDW2,Zea mays (Maize),Zea mays (Maize),1
B6U9D5,A0A1D6MTW7,Zea mays (Maize),Zea mays (Maize),1
B6U9D5,B6U0S1,Zea mays (Maize),Zea mays (Maize),1
B6U9D5,A0A1D6DW09,Zea mays (Maize),Zea mays (Maize),1
B6U9D5,A0A1D6EYB4,Zea mays (Maize),Zea mays (Maize),1
B6U9D5,A0A1D6EZQ5,Zea mays (Maize),Zea mays (Maize),1
B6U9D5,A0A1D6G1L4,Zea mays (Maize),Zea mays (Maize),1
B6U9D5,A0A1D6GN51,Zea mays (Maize),Zea mays (Maize),1
B6U9D5,A0A1D6H7H9,Zea mays (Maize),Zea mays (Maize),1
B6U9D5,A0A1D6HVP7,Zea mays (Maize),Zea mays (Maize),1
B6U9D5,A0A1D6KQ83,Zea mays (Maize),Zea mays (Maize),1
B6U9D5,A0A1D6LBD6,Zea mays (Maize),Zea mays (Maize),1
B6U9D5,A0A1D6N4R9,Zea mays (Maize),Zea mays (Maize),1
B6U9D5,B6T7Z2,Zea mays (Maize),Zea mays (Maize),1
C4J5B2,A0A1D6F2Q5,Zea mays (Maize),Zea mays (Maize),1
C4J5B2,A0A1D6I3H0,Zea mays (Maize),Zea mays (Maize),1
C4J5B2,A0A1D6MDN5,Zea mays (Maize),Zea mays (Maize),1
C4J5B2,A0A1D6NSH0,Zea mays (Maize),Zea mays (Maize),1
B4FI81,B4FI28,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6IM44,Zea mays (Maize),Zea mays (Maize),1
B4FI81,B4FHK4,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6ENT5,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6ENE6,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6FPW5,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6GCD4,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6H296,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6H7I0,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6HSJ1,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6HW42,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6HZ94,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6LIT0,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6LXY8,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6M7I0,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6MBN2,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6NGW9,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6NMH3,Zea mays (Maize),Zea mays (Maize),1
B4FI81,A0A1D6QA38,Zea mays (Maize),Zea mays (Maize),1
B6UA50,A0A1D6DXK9,Zea mays (Maize),Zea mays (Maize),1
B6UA50,A0A1D6JL95,Zea mays (Maize),Zea mays (Maize),1
B6UA50,A0A1D6MZR2,Zea mays (Maize),Zea mays (Maize),1
C0PN00,B6TSH5,Zea mays (Maize),Zea mays (Maize),1
C0PN00,A0A1D6ENF9,Zea mays (Maize),Zea mays (Maize),1
B6UAC7,A0A1D6G388,Zea mays (Maize),Zea mays (Maize),1
B6UAC7,A0A1D6GT64,Zea mays (Maize),Zea mays (Maize),1
B6UAC7,A0A1D6HAV3,Zea mays (Maize),Zea mays (Maize),1
B6UAC7,A0A1D6HJW5,Zea mays (Maize),Zea mays (Maize),1
B6UAC7,A0A1D6QA38,Zea mays (Maize),Zea mays (Maize),1
B6UAC7,B6STH7,Zea mays (Maize),Zea mays (Maize),1
B6UAC7,B4FT66,Zea mays (Maize),Zea mays (Maize),1
B6UAC7,B4F9A4,Zea mays (Maize),Zea mays (Maize),1
B4FTW8,A0A1D6ENF9,Zea mays (Maize),Zea mays (Maize),1
B4FTW8,A0A1D6EH85,Zea mays (Maize),Zea mays (Maize),1
B4FTW8,A0A1D6KQ83,Zea mays (Maize),Zea mays (Maize),1
B4FTW8,A0A1D6LBD6,Zea mays (Maize),Zea mays (Maize),1
B4FTW8,A0A1D6NJN0,Zea mays (Maize),Zea mays (Maize),1
B4FTW8,A0A1D6NMC0,Zea mays (Maize),Zea mays (Maize),1
B4FTW8,A0A1D6Q1N6,Zea mays (Maize),Zea mays (Maize),1
B6UAK0,B6TQC5,Zea mays (Maize),Zea mays (Maize),1
B6UAK0,B6UAK0,Zea mays (Maize),Zea mays (Maize),1
B6UAK0,B4FRC4,Zea mays (Maize),Zea mays (Maize),1
B6UAK0,A0A1D6DYK5,Zea mays (Maize),Zea mays (Maize),1
B6UAK0,A0A1D6GDZ6,Zea mays (Maize),Zea mays (Maize),1
B6UAK0,A0A1D6KDZ4,Zea mays (Maize),Zea mays (Maize),1
B6UAK0,A0A1D6KI98,Zea mays (Maize),Zea mays (Maize),1
B6UAK0,A0A1D6M5V2,Zea mays (Maize),Zea mays (Maize),1
B6UAK0,A0A1D6MZY2,Zea mays (Maize),Zea mays (Maize),1
B6UAK0,A0A1D6NZK8,Zea mays (Maize),Zea mays (Maize),1
B6UAK0,A0A1D6QK18,Zea mays (Maize),Zea mays (Maize),1
B6UAK0,A0A1R3MJR2,Zea mays (Maize),Zea mays (Maize),1
B6UAK0,B6SIY6,Zea mays (Maize),Zea mays (Maize),1
B6UAK7,A0A1D6QU17,Zea mays (Maize),Zea mays (Maize),1
C0P5X3,A0A1D6G4M5,Zea mays (Maize),Zea mays (Maize),1
B6UAM7,B4FBV4,Zea mays (Maize),Zea mays (Maize),1
B6UAM7,A0A1D6L299,Zea mays (Maize),Zea mays (Maize),1
B6UAM7,A0A1D6M3A7,Zea mays (Maize),Zea mays (Maize),1
B6UAM7,A0A1D6MTH6,Zea mays (Maize),Zea mays (Maize),1
B6UAM7,A0A1D6PGR9,Zea mays (Maize),Zea mays (Maize),1
B6UAM7,A0A1D6PS59,Zea mays (Maize),Zea mays (Maize),1
B4FNI8,A0A1D6JM71,Zea mays (Maize),Zea mays (Maize),1
B4FVF6,B4FE49,Zea mays (Maize),Zea mays (Maize),1
B4FVF6,A0A1D6NQR6,Zea mays (Maize),Zea mays (Maize),1
B4FVF6,A0A1D6EQY9,Zea mays (Maize),Zea mays (Maize),1
B4FVF6,A0A1D6I8A0,Zea mays (Maize),Zea mays (Maize),1
B4FVF6,A0A1D6IBF8,Zea mays (Maize),Zea mays (Maize),1
B4FVF6,A0A1D6MNG2,Zea mays (Maize),Zea mays (Maize),1
B4FVF6,A0A1D6NES1,Zea mays (Maize),Zea mays (Maize),1
B4FVF6,A0A1D6PS68,Zea mays (Maize),Zea mays (Maize),1
B4FVF6,A0A1D6PZ66,Zea mays (Maize),Zea mays (Maize),1
B6UB58,A0A1D6FGU8,Zea mays (Maize),Zea mays (Maize),1
B6UB58,A0A1D6GA59,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,B4FAI1,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,B6SZ16,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,A0A1D6GX89,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,A0A1D6K5B2,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,A0A1D6EBQ6,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,A0A1D6F810,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,A0A1D6FXN9,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,A0A1D6HCT4,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,A0A1D6HQC9,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,A0A1D6J209,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,A0A1D6KE36,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,A0A1D6KIQ4,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,A0A1D6LXX3,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,A0A1D6NZK8,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,A0A1D6PIX7,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,A0A1D6QA38,Zea mays (Maize),Zea mays (Maize),1
B6U5I0,A0A3L6DK31,Zea mays (Maize),Zea mays (Maize),1
B6UBK1,B4FMP5,Zea mays (Maize),Zea mays (Maize),1
B6UBK1,A0A1D6KGM0,Zea mays (Maize),Zea mays (Maize),1
C0HDP7,B4FE67,Zea mays (Maize),Zea mays (Maize),1
C0HDP7,B4FIZ5,Zea mays (Maize),Zea mays (Maize),1
C0HDP7,B4FU40,Zea mays (Maize),Zea mays (Maize),1
C0HDP7,A0A1D6DXW6,Zea mays (Maize),Zea mays (Maize),1
C0HDP7,A0A1D6INZ6,Zea mays (Maize),Zea mays (Maize),1
B6SPR5,B4FB62,Zea mays (Maize),Zea mays (Maize),1
B6SPR5,B4FF98,Zea mays (Maize),Zea mays (Maize),1
B6SPR5,A0A1D6LBU5,Zea mays (Maize),Zea mays (Maize),1
B6SPR5,A0A1D6F0G6,Zea mays (Maize),Zea mays (Maize),1
B6SPR5,A0A1D6JH51,Zea mays (Maize),Zea mays (Maize),1
B6SPR5,A0A1D6L299,Zea mays (Maize),Zea mays (Maize),1
B6SPR5,A0A1D6MA76,Zea mays (Maize),Zea mays (Maize),1
B6SPR5,A0A1D6MUI8,Zea mays (Maize),Zea mays (Maize),1
B6SPR5,A0A1D6NHH0,Zea mays (Maize),Zea mays (Maize),1
B6SPR5,A0A1D6PSE5,Zea mays (Maize),Zea mays (Maize),1
B6SPR5,B4F9A4,Zea mays (Maize),Zea mays (Maize),1
B6SPR5,A0A1R3PWZ0,Zea mays (Maize),Zea mays (Maize),1
C0PER6,B4FHM8,Zea mays (Maize),Zea mays (Maize),1
C0PER6,A0A1D6N2M1,Zea mays (Maize),Zea mays (Maize),1
C0PER6,B6UFF4,Zea mays (Maize),Zea mays (Maize),1
B6UBT3,A0A1D6K641,Zea mays (Maize),Zea mays (Maize),1
K7UBM9,B6SUK1,Zea mays (Maize),Zea mays (Maize),1
K7UBM9,C4JBB4,Zea mays (Maize),Zea mays (Maize),1
K7UBM9,A0A1D6GQI1,Zea mays (Maize),Zea mays (Maize),1
K7UBM9,B6TF10,Zea mays (Maize),Zea mays (Maize),1
K7UBM9,A0A1D6F4C1,Zea mays (Maize),Zea mays (Maize),1
K7UBM9,A0A1D6G113,Zea mays (Maize),Zea mays (Maize),1
K7UBM9,A0A1D6H9C5,Zea mays (Maize),Zea mays (Maize),1
K7UBM9,A0A1D6JBU3,Zea mays (Maize),Zea mays (Maize),1
K7UBM9,A0A1D6L8U4,Zea mays (Maize),Zea mays (Maize),1
K7UBM9,A0A1D6P8A0,Zea mays (Maize),Zea mays (Maize),1
K7UBM9,B4FLY5,Zea mays (Maize),Zea mays (Maize),1
K7UBM9,B6UHV8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSN1,A0A1D6DX76,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSN1,A0A1D6FJM7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSN1,A0A1D6GT24,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSN1,A0A1D6GWB6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSN1,A0A1D6GWH6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSN1,A0A1D6H2K7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSN1,A0A1D6HA73,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSN1,A0A1D6HIF7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSN1,A0A1D6HVS1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSN1,A0A1D6HZ94,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSN1,A0A1D6IH74,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSN1,A0A1D6IL23,Zea mays (Maize),Zea mays (Maize),1
B6UCM9,A0A1D6IAM9,Zea mays (Maize),Zea mays (Maize),1
B6U772,A0A1D6K232,Zea mays (Maize),Zea mays (Maize),1
B6U772,B4FTK9,Zea mays (Maize),Zea mays (Maize),1
B6U772,A0A1D6G555,Zea mays (Maize),Zea mays (Maize),1
B6U772,A0A1D6GE14,Zea mays (Maize),Zea mays (Maize),1
B6U772,A0A1D6M4L8,Zea mays (Maize),Zea mays (Maize),1
B6U772,A0A1D6DYN8,Zea mays (Maize),Zea mays (Maize),1
B6U772,A0A1D6ECJ6,Zea mays (Maize),Zea mays (Maize),1
B6U772,A0A1D6ESS2,Zea mays (Maize),Zea mays (Maize),1
B6U772,A0A1D6FKV9,Zea mays (Maize),Zea mays (Maize),1
B6U772,A0A1D6FQ43,Zea mays (Maize),Zea mays (Maize),1
B6U772,A0A1D6HJJ4,Zea mays (Maize),Zea mays (Maize),1
B6U772,A0A1D6KTL0,Zea mays (Maize),Zea mays (Maize),1
B6U772,A0A1D6L6F1,Zea mays (Maize),Zea mays (Maize),1
B6U772,A0A1D6M0R8,Zea mays (Maize),Zea mays (Maize),1
B6U772,A0A1D6NXG8,Zea mays (Maize),Zea mays (Maize),1
B6U772,A0A1D6PRM3,Zea mays (Maize),Zea mays (Maize),1
B6U772,B6SY69,Zea mays (Maize),Zea mays (Maize),1
A0A1D6PDJ6,A0A1D6PCB4,Zea mays (Maize),Zea mays (Maize),1
B6UCY8,A0A1D6HL62,Zea mays (Maize),Zea mays (Maize),1
B6UCY8,A0A1D6IZC2,Zea mays (Maize),Zea mays (Maize),1
B6UCY8,A0A1D6JIP7,Zea mays (Maize),Zea mays (Maize),1
B6UCY8,A0A1D6KA46,Zea mays (Maize),Zea mays (Maize),1
B6UCY8,A0A1D6MT91,Zea mays (Maize),Zea mays (Maize),1
B6UCY8,A0A1D6P5R4,Zea mays (Maize),Zea mays (Maize),1
B6UCY8,A0A3L6FE65,Zea mays (Maize),Zea mays (Maize),1
C0PDG3,B6TYU1,Zea mays (Maize),Zea mays (Maize),1
C0PDG3,A0A1D6J0T8,Zea mays (Maize),Zea mays (Maize),1
C0PDG3,A0A1D6LGF0,Zea mays (Maize),Zea mays (Maize),1
C0PDG3,A0A1D6LK95,Zea mays (Maize),Zea mays (Maize),1
C0PDG3,A0A1Q1A986,Zea mays (Maize),Zea mays (Maize),1
B6UD08,A0A1D6E788,Zea mays (Maize),Zea mays (Maize),1
B6UD14,B4F8H7,Zea mays (Maize),Zea mays (Maize),1
B6UD14,B4F8I8,Zea mays (Maize),Zea mays (Maize),1
B6UD14,A0A1D6F350,Zea mays (Maize),Zea mays (Maize),1
B6UD14,A0A1D6HW76,Zea mays (Maize),Zea mays (Maize),1
B6UD14,A0A1D6J0S9,Zea mays (Maize),Zea mays (Maize),1
B6U5U2,B4F9Y7,Zea mays (Maize),Zea mays (Maize),1
B6U5U2,A0A1D6PL27,Zea mays (Maize),Zea mays (Maize),1
B6TR16,A0A1D6EAQ6,Zea mays (Maize),Zea mays (Maize),1
B6TR16,A0A1D6MXH6,Zea mays (Maize),Zea mays (Maize),1
B6TR16,A0A1D6QLQ7,Zea mays (Maize),Zea mays (Maize),1
B6TR16,A0A1D6M7D7,Zea mays (Maize),Zea mays (Maize),1
B6TLZ8,B6SXU0,Zea mays (Maize),Zea mays (Maize),1
B4G197,A0A1D6NZP1,Zea mays (Maize),Zea mays (Maize),1
B4G197,B4FJS2,Zea mays (Maize),Zea mays (Maize),1
B6T401,A0A1D6EAF6,Zea mays (Maize),Zea mays (Maize),1
B6T401,A0A1D6N781,Zea mays (Maize),Zea mays (Maize),1
C0P5D8,A0A1D6NAD2,Zea mays (Maize),Zea mays (Maize),1
B6T1D8,A0A1D6F227,Zea mays (Maize),Zea mays (Maize),1
B6T1D8,B4FD26,Zea mays (Maize),Zea mays (Maize),1
B6T1D8,B4FT35,Zea mays (Maize),Zea mays (Maize),1
B6T1D8,B4FUQ9,Zea mays (Maize),Zea mays (Maize),1
B6T1D8,A0A1D6KTF9,Zea mays (Maize),Zea mays (Maize),1
B6T1D8,A0A1D6HK27,Zea mays (Maize),Zea mays (Maize),1
B6T1D8,A0A1D6I195,Zea mays (Maize),Zea mays (Maize),1
B6T1D8,A0A1Q1A2C4,Zea mays (Maize),Zea mays (Maize),1
B6T1D8,B6STH7,Zea mays (Maize),Zea mays (Maize),1
B6UE26,B4FKM1,Zea mays (Maize),Zea mays (Maize),1
B6UE26,B6STC3,Zea mays (Maize),Zea mays (Maize),1
B6UE26,B6TW53,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6FAE0,Zea mays (Maize),Zea mays (Maize),1
B6UE26,B6T4K7,Zea mays (Maize),Zea mays (Maize),1
B6UE26,B6SIB2,Zea mays (Maize),Zea mays (Maize),1
B6UE26,B4FTQ9,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6GSN9,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6HL62,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6HXQ0,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6J5J3,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6ESG6,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6GIJ5,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6GXA0,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6HJB4,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6HV44,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6IC41,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6K844,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6LAF5,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6LBB5,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6NUQ9,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6P636,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6P888,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6QA38,Zea mays (Maize),Zea mays (Maize),1
B6UE26,A0A1D6QUN4,Zea mays (Maize),Zea mays (Maize),1
B6UE26,B4FMM6,Zea mays (Maize),Zea mays (Maize),1
B6UE26,B6SJ40,Zea mays (Maize),Zea mays (Maize),1
B6UE48,A0A1D6H1J5,Zea mays (Maize),Zea mays (Maize),1
B6UE48,A0A1D6LKV8,Zea mays (Maize),Zea mays (Maize),1
B6UE48,A0A1D6NAD2,Zea mays (Maize),Zea mays (Maize),1
B6UE48,A0A1D6PWU7,Zea mays (Maize),Zea mays (Maize),1
B6UE48,B6STH7,Zea mays (Maize),Zea mays (Maize),1
B6UE48,A0A060D1R6,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B4F8V9,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B4FC18,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B6SZS2,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6QQ93,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B4FHU9,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B4FMS4,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B4FN34,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B4FZ01,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B6SP90,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B6T7W2,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B6T9F9,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B6TGW1,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B4FKW0,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B8A0P7,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B6SZ69,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B6SZE0,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B6T8X1,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B4FTL9,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B6TNE5,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6FZE0,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B4FY15,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,C0P2H1,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,C0PEG8,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B6SI29,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6FBD8,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6FRF8,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6FW13,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6G4I8,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6GGX8,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6HVS1,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6HZ94,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6IPW7,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6JP38,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6K3N5,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6KWS9,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6L0I5,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6MAL7,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6MWA5,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6PLR6,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,A0A1D6PS68,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B4FBB3,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B4FI96,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B4FLL1,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B4FSS4,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B4FT00,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B6SN85,Zea mays (Maize),Zea mays (Maize),1
C0PGN9,B6SUC4,Zea mays (Maize),Zea mays (Maize),1
B6UE61,B6SPL7,Zea mays (Maize),Zea mays (Maize),1
B6UE61,A0A1D6F7Y2,Zea mays (Maize),Zea mays (Maize),1
B6UE61,A0A1D6HC24,Zea mays (Maize),Zea mays (Maize),1
B6UE61,B6SUT1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6M367,A0A1D6E8H9,Zea mays (Maize),Zea mays (Maize),1
B6UE85,A0A1D6L934,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,B4FBF2,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,B4FTC1,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,B6TW53,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,A0A1D6NQR6,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,B4FD74,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,A0A1D6E683,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,A0A1D6IAI4,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,A0A1D6IAM9,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,A0A1D6JZ25,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,A0A1D6L3D7,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,A0A1D6M7C2,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,A0A1D6MEU8,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,A0A1D6N4R9,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,A0A1D6PE08,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,A0A1D6PM19,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,A0A1D6PVR4,Zea mays (Maize),Zea mays (Maize),1
B6UEB0,A0A1D6QCR7,Zea mays (Maize),Zea mays (Maize),1
K7VPN2,A0A1D6M0X9,Zea mays (Maize),Zea mays (Maize),1
K7VPN2,A0A1D6FQE4,Zea mays (Maize),Zea mays (Maize),1
K7VPN2,A0A1D6G322,Zea mays (Maize),Zea mays (Maize),1
K7VPN2,A0A1D6Q4N8,Zea mays (Maize),Zea mays (Maize),1
B6UEF5,A0A1D6LNL8,Zea mays (Maize),Zea mays (Maize),1
B4G1F2,A0A1D6LWT4,Zea mays (Maize),Zea mays (Maize),1
B6UEL2,A0A1D6H2S4,Zea mays (Maize),Zea mays (Maize),1
B6UEL2,A0A1D6EYB4,Zea mays (Maize),Zea mays (Maize),1
B6UEL2,A0A1D6PSE5,Zea mays (Maize),Zea mays (Maize),1
B6UEM9,A0A1D6H9Q8,Zea mays (Maize),Zea mays (Maize),1
B6UEM9,A0A1D6LXX3,Zea mays (Maize),Zea mays (Maize),1
B6UEM9,A0A1D6PZK1,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,B4FAI1,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,B4FRV3,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,B4FT72,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,B4FWR0,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,B4G0P4,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,A0A1D6ET20,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,A0A1D6GWH1,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,B4FQK7,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,B6SJJ1,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,A0A1D6LEN8,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,A0A1D6GJ33,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,A0A1D6IGX5,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,A0A1D6K188,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,A0A1D6KEU3,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,A0A1D6L048,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,A0A1D6ECQ6,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,A0A1D6EU55,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,A0A1D6FMA1,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,A0A1D6FQ51,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,A0A1D6G2W8,Zea mays (Maize),Zea mays (Maize),1
B6SJJ1,A0A1D6GRJ3,Zea mays (Maize),Zea mays (Maize),1
